"Código","Nombre","Categoría","Sector","Dependencia","Localidad","Departamento","Barrio","Domicilio","CP","Teléfono","Correo Electrónico","Web","Responsable","Origen georrefenciación","Latitud","Longitud","Código de provincia","Nombre de provincia","Código de departamentos/comuna","Nombre de departamentos/comuna","Código de radio"
70066232312004,"PIERGALLINI CLAUDIA INES",2,2,7,"PERGAMINO","PERGAMINO","","AMEGHINO 2002",2700,"02477-440843","farmapier@hotmail.com","","","Poblaciones","-33.8715211","-60.571035","06","Buenos Aires","06623","Pergamino","066232003"
70066232311912,"BANFI SILVINA OLGA",2,2,7,"PERGAMINO","PERGAMINO","","AMEGHINO 821",2700,"02477-437813","sbanfi@live.com.ar","","","Poblaciones","-33.8804597","-60.5751072","06","Buenos Aires","06623","Pergamino","066232007"
70066232313358,"NAVARRO",2,2,7,"PERGAMINO","PERGAMINO","","SIRIA 1188",2700,"2477443555","rulofarm@yahoo.com.ar","","","Poblaciones","-33.8800471","-60.5669175","06","Buenos Aires","06623","Pergamino","066232007"
70066232311264,"COUSO MARIELA ALEJANDRA",2,2,7,"PERGAMINO","PERGAMINO","","SARMIENTO 802",2700,"02477-422489","marielacouso@yahoo.com.ar","","","Poblaciones","-33.8831447","-60.5672278","06","Buenos Aires","06623","Pergamino","066232008"
70066232310655,"QUIROGA ESTEBAN JUAN",2,2,7,"PERGAMINO","PERGAMINO","","AMEGHINO 402",1,"0477-22823","quirogaesteban@yahoo.com.ar","","","Poblaciones","-33.8836175","-60.577039","06","Buenos Aires","06623","Pergamino","066230102"
70066232313601,"GIUSTOZZI",2,2,7,"PERGAMINO","PERGAMINO","","AV. A.R.JAUREGUI 1959",1,"","draborlenghi@hotmail.com","","","Poblaciones","-33.8881493","-60.5864044","06","Buenos Aires","06623","Pergamino","066232905"
70066232314995,"GALETTO MARIA FERNANDA",2,2,7,"PERGAMINO","PERGAMINO","","AV A RODRIGUEZ JAUREGUI  1959",2700,"","1@1.com","","","Poblaciones","-33.8881493","-60.5864044","06","Buenos Aires","06623","Pergamino","066232905"
70066232311185,"VERDUN",2,2,7,"PERGAMINO","PERGAMINO","","SIRIA 434",2700,"","mariangelesverdun@gmail.com","","VERDUN MARIANGELES","Poblaciones","-33.8857702","-60.5698074","06","Buenos Aires","06623","Pergamino","066230105"
70066232313925,"SOLIOZ",2,2,7,"PERGAMINO","PERGAMINO","","LAPRIDA 401",1,"","dasolioz@hotmail.com","","","Poblaciones","-33.8871107","-60.5666587","06","Buenos Aires","06623","Pergamino","066230107"
70066232314328,"CARNEVALE",2,2,7,"PERGAMINO","PERGAMINO","","Bv.. VELEZ SARSFIELD  696",2700,"2477411397","colfarmaperga@celpinf.com.ar","","","Poblaciones","-33.8863654","-60.5614784","06","Buenos Aires","06623","Pergamino","066230107"
70066232315055,"RODRIGUEZ",2,2,7,"PERGAMINO","PERGAMINO","","AV.ALSINA 1253",2700,"02477-436955","miradr@speedy.com.ar","","Sin Responsable","Poblaciones","-33.8873529","-60.5768205","06","Buenos Aires","06623","Pergamino","066230202"
70066232311860,"COLELL BIBIANA TERESA",2,2,7,"PERGAMINO","PERGAMINO","","VELEZ SARSFIELD 308",2700,"0477-430124","bibianacolell@hotmail.com","","","Poblaciones","-33.8891978","-60.5629414","06","Buenos Aires","06623","Pergamino","066230106"
70066232312011,"AZCARRAGA ROSANA",2,2,7,"PERGAMINO","PERGAMINO","","ALSINA 699",2700,"02477-423105","farmaciafenix@fibertel.com.ar","","","Poblaciones","-33.8891691","-60.571117","06","Buenos Aires","06623","Pergamino","066230106"
70066232313042,"FARMACIA YARROCH S. C. S.",2,2,7,"PERGAMINO","PERGAMINO","","SARMIENTO 202",1,"02477-423666","leticiabartolini@hotmail.com","","","Poblaciones","-33.8879508","-60.5696225","06","Buenos Aires","06623","Pergamino","066230106"
70066232313208,"PICCO",2,2,7,"PERGAMINO","PERGAMINO","","AV. DE MAYO  1391",2700,"02477-421184","robertopicco@yahoo.com.ar","","","Poblaciones","-33.8899764","-60.5809233","06","Buenos Aires","06623","Pergamino","066230301"
70066232311944,"MILLAN LAURA ALICIA",2,2,7,"PERGAMINO","PERGAMINO","","NICOLAS REPETTO 559",1,"02477-442113","farmaciamillan@fibertel.com.ar","","","Poblaciones","-33.8891422","-60.5576056","06","Buenos Aires","06623","Pergamino","066230109"
70066232313621,"VASCHETTI",2,2,7,"PERGAMINO","PERGAMINO","","MERCED 201",1,"","cambicha71@hotmail.com","","","Poblaciones","-33.8907722","-60.5728919","06","Buenos Aires","06623","Pergamino","066230203"
70066232314502,"PAZ",2,2,7,"PERGAMINO","PERGAMINO","","AVENIDA ALSINA 902",2700,"2477436289","farmaciapaz95@hotmail.com","","","Poblaciones","-33.8885292","-60.5740698","06","Buenos Aires","06623","Pergamino","066230203"
70066232312098,"GALLI",2,2,7,"PERGAMINO","PERGAMINO","","BOULEVARD  COLON 602",2700,"","","","GALLI PATRICIA","Poblaciones","-33.8920855","-60.5809069","06","Buenos Aires","06623","Pergamino","066230311"
70066232314467,"FARMACIAS URBANAS S. C. S.",2,2,7,"PERGAMINO","PERGAMINO","","AV.COLON 955",1,"","farmaciasurbanas@hotmail.com","","","Poblaciones","-33.8947187","-60.5823511","06","Buenos Aires","06623","Pergamino","066230302"
70066232318681,"ALE MARIA LAURA",2,2,7,"PERGAMINO","PERGAMINO","","AV. COLON 979",2700,"","","","ALE MARIA LAURA","Poblaciones","-33.8949179","-60.5824347","06","Buenos Aires","06623","Pergamino","066230302"
70066232311775,"SPERANZA",2,2,7,"PERGAMINO","PERGAMINO","","AVDA DE MAYO 1160",2700,"","farmaciasperanza@fibertel.com.ar","","SPERANZA GRACIELA RAQUEL","Poblaciones","-33.8912343","-60.5784174","06","Buenos Aires","06623","Pergamino","066230304"
70066232310850,"FARMACIA BAUZA",2,2,7,"PERGAMINO","PERGAMINO","","AV. DE MAYO 205",2700,"","jjbau62@hotmail.com","","BAUZA JUAN JOSE","Poblaciones","-33.8941936","-60.5683141","06","Buenos Aires","06623","Pergamino","066230205"
70066232313615,"BOLDRINI",2,2,7,"PERGAMINO","PERGAMINO","","ALBERTI 200",1,"","1@1.com","","","Poblaciones","-33.8921556","-60.5682372","06","Buenos Aires","06623","Pergamino","066230205"
70066232313622,"SIERRA",2,2,7,"PERGAMINO","PERGAMINO","","BV. .ROCHA 201",1,"","1@1.com","","","Poblaciones","-33.8934013","-60.5648018","06","Buenos Aires","06623","Pergamino","066230206"
70066232313380,"ZEPPA",2,2,7,"PERGAMINO","PERGAMINO","","FLORENCIO SANCHEZ 1050",1,"","zeppamf@bbt11.com.ar","","","Poblaciones","-33.8936888","-60.5881484","06","Buenos Aires","06623","Pergamino","066230501"
70066232313483,"BIAGI",2,2,7,"PERGAMINO","PERGAMINO","","CASTELLI 1513",2700,"02477-438117","bbiagi@fibertel.com.ar","","","Poblaciones","-33.8958921","-60.5852129","06","Buenos Aires","06623","Pergamino","066230501"
70066232311913,"LAVANDERA IRENE",2,2,7,"PERGAMINO","PERGAMINO","","FLORIDA 962",1,"02477-423878","irenelavandera@hotmail.com","","","Poblaciones","-33.8960897","-60.5784174","06","Buenos Aires","06623","Pergamino","066230305"
70066232316199,"DEL PUEBLO",2,2,7,"PERGAMINO","PERGAMINO","","SAN NICOLAS 600",1,"","mpinat2002@yahoo.com.ar","","Sin Responsable","Poblaciones","-33.8947613","-60.5732137","06","Buenos Aires","06623","Pergamino","066230307"
70066232316201,"RIERA",2,2,7,"PERGAMINO","PERGAMINO","","SAN NICOLAS 699",2700,"2477424083","antoniojoseriera@yahoo.com.ar","","Sin Responsable","Poblaciones","-33.895956","-60.5738953","06","Buenos Aires","06623","Pergamino","066230307"
70066232311723,"GIUGGIOLINI MARIA ROSA",2,2,7,"PERGAMINO","PERGAMINO","","MITRE 814",1,"02477-423446","MRGIUGGIOLINI@HOTMAIL.COM","","","Poblaciones","-33.8941854","-60.5752773","06","Buenos Aires","06623","Pergamino","066230306"
70066232316198,"FERNANDEZ",2,2,7,"PERGAMINO","PERGAMINO","","MARCELINO UGARTE 447",2700,"02477-429208","juanita-bea@hotmail.com","","Sin Responsable","Poblaciones","-33.8933836","-60.5598272","06","Buenos Aires","06623","Pergamino","066230207"
70066232313363,"SETA",2,2,7,"PERGAMINO","PERGAMINO","","MONTEAGUDO 1199",2700,"2477-424883","marielaseta@hotmail.com","","","Poblaciones","-33.8972234","-60.5820207","06","Buenos Aires","06623","Pergamino","066230505"
70066232314574,"SETA HECTOR",2,2,7,"PERGAMINO","PERGAMINO","","MONTEAGUDO 1199",2700,"","1@1.com","","","Poblaciones","-33.8972234","-60.5820207","06","Buenos Aires","06623","Pergamino","066230505"
70066232312058,"LOPEZ SILVANA ALICIA",2,2,7,"PERGAMINO","PERGAMINO","","AVENIDA  H. YRIGOYEN 946",2700,"02477-425231","cambicha71@hotmail.com","","","Poblaciones","-33.8980687","-60.5565686","06","Buenos Aires","06623","Pergamino","066230209"
70066232314599,"VASCHETTI MARIANO OMAR",2,2,7,"PERGAMINO","PERGAMINO","","H.YRIGOYEN 1053",0,"","1@1.com","","","Poblaciones","-33.898724","-60.5557468","06","Buenos Aires","06623","Pergamino","066230209"
70066232311884,"MANZOCO SILVIA VIVIANA",2,2,7,"PERGAMINO","PERGAMINO","","BR.ROCHA 501",2700,"02477-425940","FARMACIAMANZOCO@gmail.com","","","Poblaciones","-33.8961474","-60.566398","06","Buenos Aires","06623","Pergamino","066230403"
70066232313613,"COSIO",2,2,7,"PERGAMINO","PERGAMINO","","FLORIDA 2",1,"","cosior@bbt11.com.ar","","","Poblaciones","-33.8999235","-60.5681959","06","Buenos Aires","06623","Pergamino","066230403"
70066232314569,"CONTICELLO",2,2,7,"PERGAMINO","PERGAMINO","","H.YRIGOYEN 101",2700,"02477-423846","colfarmaperga@gmail.com","","","Poblaciones","-33.8957223","-60.5646521","06","Buenos Aires","06623","Pergamino","066230403"
70066232310818,"RATTO ALDO IGNACIO",2,2,7,"PERGAMINO","PERGAMINO","","AVENIDA COLON 1446",1,"02477-420734","farmaciaratto@bbt11.com.ar","","","Poblaciones","-33.8991892","-60.5840402","06","Buenos Aires","06623","Pergamino","066230506"
