entidad,fna,gna,nam,fdc,sag,longitud,latitud
,,,,,,-64.91551551,-22.82657114
,,,,,,-65.05211511,-26.12727256
,,,,,,-65.01415802,-26.1441377
,,,,,,-65.27896746,-26.10931596
,,,,,,-65.3371268,-26.06245987
,,,,,,-65.3942588,-26.08048215
,,,,,,-65.39208223,-26.07736062
,,,,,,-65.27927455,-26.23051074
,,,,,,-65.28052458,-26.22619937
,,,,,,-65.27792534,-26.23736178
,,,,,,-65.27817148,-26.23787494
,,,,,,-65.27465992,-26.23797995
,,,,,,-65.27658446,-26.26862124
,,,,,,-65.32961403,-26.24563577
,,,,,,-65.39377787,-26.22526186
,,,,,,-65.49219834,-26.23358993
,,,,,,-65.31733934,-26.16138361
,,,,,,-65.36768022,-26.21046093
,,,,,,-65.48534301,-26.19037891
,,,,,,-65.3925198,-26.09653077
,,,,,,-65.25206148,-26.28953116
,,,,,,-64.5926213,-26.11958643
,,,,,,-64.59404674,-26.11923745
,,,,,,-64.66946905,-26.0117509
,,,,,,-64.65022663,-26.04728209
,,,,,,-64.64877581,-26.10657073
,,,,,,-64.72891908,-26.21479111
,,,,,,-64.8386168,-26.22608032
,,,,,,-64.96548698,-26.21117811
,,,,,,-64.80456204,-26.26471421
,,,,,,-64.65587521,-26.26909469
,,,,,,-64.53163815,-26.22588917
,,,,,,-65.53278813,-26.37585912
,,,,,,-65.55246598,-26.40558574
,,,,,,-65.56735079,-26.45356972
,,,,,,-65.56722663,-26.45384131
,,,,,,-65.55702662,-26.56406387
,,,,,,-65.50509066,-26.48017535
,,,,,,-65.98372343,-26.45128989
,,,,,,-65.96152511,-26.36972312
,,,,,,-65.95755536,-26.36132169
,,,,,,-65.83790106,-26.4642082
,,,,,,-65.91957367,-26.59482029
,,,,,,-65.92495438,-26.59598114
,,,,,,-65.83303759,-26.57300565
,,,,,,-65.74457699,-26.41307173
,,,,,,-65.88955964,-26.6089675
,,,,,,-65.8571527,-26.5964378
,,,,,,-65.82282389,-26.64123682
,,,,,,-65.50061758,-26.58597717
,,,,,,-65.60312751,-26.6269673
,,,,,,-65.04764984,-26.66086802
,,,,,,-65.04779858,-26.66054547
,,,,,,-65.04956743,-26.61476217
,,,,,,-65.00215083,-26.45066266
,,,,,,-65.08593856,-26.40997199
,,,,,,-65.06273649,-26.6382277
,,,,,,-65.12829062,-26.65361028
,,,,,,-65.42478085,-26.38847948
,,,,,,-65.42571328,-26.38860044
,,,,,,-65.31782392,-26.41477376
,,,,,,-65.20767378,-26.47883839
,,,,,,-65.29231916,-26.37036262
,,,,,,-65.34594468,-26.48069405
,,,,,,-65.40607146,-26.50029364
,,,,,,-65.24713507,-26.52396106
,,,,,,-65.1928139,-26.63618688
,,,,,,-65.19264596,-26.63615888
,,,,,,-65.27825843,-26.59465883
,,,,,,-65.2781949,-26.59246715
,,,,,,-65.40139934,-26.66162077
,,,,,,-64.83652155,-26.64227401
,,,,,,-64.8884036,-26.64568266
,,,,,,-64.83390732,-26.57615978
,,,,,,-64.79855878,-26.55557429
,,,,,,-64.79376967,-26.55550628
,,,,,,-64.57007509,-26.62311792
,,,,,,-64.56096147,-26.57688792
,,,,,,-64.55861513,-26.57128733
,,,,,,-64.56855382,-26.48398132
,,,,,,-64.74170519,-26.50150065
,,,,,,-64.74284984,-26.50610298
,,,,,,-64.70876717,-26.45439637
,,,,,,-64.68242985,-26.37994137
,,,,,,-64.78094253,-26.36982746
,,,,,,-64.77528743,-26.42355485
,,,,,,-64.74957513,-26.43363752
,,,,,,-64.80990044,-26.52137289
,,,,,,-64.8526792,-26.54747655
,,,,,,-64.87563854,-26.50343373
,,,,,,-64.94620847,-26.345346
,,,,,,-64.9458679,-26.41761803
,,,,,,-64.93143523,-26.6584393
,,,,,,-64.99431733,-26.50500804
,,,,,,-64.79726875,-26.4635598
,,,,,,-64.94608092,-26.68735889
,,,,,,-64.948964,-26.6876781
,,,,,,-64.94407887,-26.7163721
,,,,,,-64.87566477,-26.7282073
,,,,,,-64.79436244,-26.68517288
,,,,,,-64.73262126,-26.68101231
,,,,,,-64.66487375,-26.69427169
,,,,,,-64.65030388,-26.73908188
,,,,,,-64.61638246,-26.73087299
,,,,,,-64.73983742,-26.88870722
,,,,,,-64.79948959,-26.86355842
,,,,,,-64.94967542,-26.87663807
,,,,,,-64.98816855,-26.83342876
,,,,,,-64.98860311,-26.83390391
,,,,,,-64.98021608,-26.78362835
,,,,,,-64.91113208,-26.79250348
,,,,,,-64.98633679,-26.74206044
,,,,,,-64.99902433,-26.8900273
,,,,,,-64.99410495,-26.88760997
,,,,,,-64.8861253,-26.94779122
,,,,,,-64.89954813,-26.95663036
,,,,,,-64.90998005,-26.997474
,,,,,,-64.86648225,-26.98397702
,,,,,,-64.87739382,-26.85557235
,,,,,,-64.84924224,-26.84321997
,,,,,,-64.66171684,-26.78804323
,,,,,,-64.7011933,-26.76855167
,,,,,,-64.7863893,-26.74544855
,,,,,,-64.76559099,-26.86011828
,,,,,,-64.98589718,-26.95695388
,,,,,,-64.94594206,-26.68724198
,,,,,,-65.50502759,-27.1077094
,,,,,,-65.53229011,-27.09355737
,,,,,,-65.53470762,-27.09391608
,,,,,,-65.56644675,-27.09829759
,,,,,,-65.55755283,-27.14806941
,,,,,,-65.52318284,-27.14967024
,,,,,,-65.50308537,-27.16257145
,,,,,,-65.50571538,-27.17172735
,,,,,,-65.5080228,-27.17402083
,,,,,,-65.50240446,-27.1800931
,,,,,,-65.54691907,-27.19564673
,,,,,,-65.54928909,-27.1789048
,,,,,,-65.60574739,-27.19009601
,,,,,,-65.60570884,-27.19028877
,,,,,,-65.57386697,-27.19990939
,,,,,,-65.60093857,-27.22739682
,,,,,,-65.56176839,-27.23096095
,,,,,,-65.54783739,-27.25376989
,,,,,,-65.54254362,-27.25068086
,,,,,,-65.50890771,-27.19909104
,,,,,,-65.52571388,-27.21979508
,,,,,,-65.55871559,-27.26717376
,,,,,,-65.55619516,-27.26931155
,,,,,,-65.5615081,-27.26727209
,,,,,,-65.53478038,-27.30240897
,,,,,,-65.52231947,-27.31292345
,,,,,,-65.78025928,-27.32598865
,,,,,,-65.62012469,-27.30437676
,,,,,,-65.64752922,-27.26338876
